thottacharya,தொட்டாச்சார்ய
niraivaettrappadugindra,நிறைவேற்றப்படுகின்ற
vaelviyaalum,வேள்வியாலும்
narasimmi,நாரசிம்மி
uruththuvathae,உறுத்துவதே
thinari,தினரி
iyatrtruvathil,இயற்றுவதில்
inaiyathalangkalaip,இணையதளங்களைப்
vaithanar,வைதனர்
seithukkiraennu,செய்துக்கிறேன்னு
sindhippoamaaga,சிந்திப்போமாக
koottaimaari,கோட்டைமாரி
sendruthirumbiyapadi,சென்றுதிரும்பியபடி
samoogaviyalum,சமூகவியலும்
uuttaraikkul,ஊட்டறைக்குள்
kilam,கிளம்
anubaviththavarae,அனுபவித்தவரே
piramugaraagach,பிரமுகராகச்
valaiyamaippugaloadu,வலையமைப்புகளோடு
haajal,ஹாஜல்
koattaiyendrum,கோட்டையென்றும்
ivaalaith,இவாளைத்
theeyittuch,தீயிட்டுச்
kondaadiyavargaldhaan,கொண்டாடியவர்கள்தான்
poadappadavae,போடப்படவே
ichchevvayaandru,இச்செவ்வயான்று
aasaikke,ஆசைக்கே
vaakkuppettiyum,வாக்குப்பெட்டியும்
thevaiyaanathondraagum,தேவையானதொன்றாகும்
paathakaathipathiyin,பாதகாதிபதியின்
blina,பிளினா
athaipurinthu,அதைபுரிந்து
saaipaapaavukku,சாய்பாபாவுக்கு
thadukkureengka,தடுக்குறீங்க
irukkaththaam,இருக்கத்தாம்
lysithine,லிசித்தின்
thunaippaadaththil,துணைப்பாடத்தில்
kulavichai,குலவிச்சை
paravaiyoasaikooda,பறவையோசைகூட
seyarpaadugalaikkooda,செயற்பாடுகளைக்கூட
peratini,பெரட்டினி
athvaithamkirathu,அத்வைதம்கிறது
velichchamperum,வெளிச்சம்பெறும்
aththalaththirkul,அத்தளத்திற்குள்
saevaiyaalaraiyum,சேவையாளரையும்
parinamippathaaga,பரிணமிப்பதாக
appozhu,அப்பொழு
maththiyoovum,மத்தியூவும்
nirmattam,நிர்மட்டம்
udaikkiraennu,உடைக்கிறேன்னு
kadaththalkalukkup,கடத்தல்களுக்குப்
aakkurathae,ஆக்குறதே
mattaiyampatti,மாட்டையாம்பட்டி
kummaalamittavar,கும்மாளமிட்டவர்
nangaiyargal,நங்கையர்கள்
vithaiththuvittanar,விதைத்துவிட்டனர்
porunthiyathumaana,பொருந்தியதுமான
rajapakshamargalidam,ராஜபக்ஷமார்களிடம்
seithallathaagavum,செய்தள்ளதாகவும்
kooraththaandavamaadinar,கோரத்தாண்டவமாடினர்
pannun,பண்ணுன்
uganthoarukku,உகந்தோருக்கு
maruthaliththavar,மறுதலித்தவர்
seluththiyullaargal,செலுத்தியுள்ளார்கள்
everestine,எவெரெஸ்டின்
pilliyanirkum,பில்லியனிற்கும்
thathvaththaiyum,தத்வத்தையும்
vivaathiththullaargal,விவாதித்துள்ளார்கள்
seikirathirku,செய்கிறதிற்கு
thirudanaagiya,திருடனாகிய
udayapalan,உதயபாலனின்
vandampalayam,வண்டாம்பாளையம்
tomastino,டொமஸ்டினோ
munbaguthikku,முன்பகுதிக்கு
nayakram,நாயக்ராம்
irukkunumilla,இருக்குணுமில்ல
koorappadaavittaalum,கூறப்படாவிட்டாலும்
naattiyamaaduvaargal,நாட்டியமாடுவார்கள்
silaappugalil,சிலாப்புகளில்
poayittaangannu,போயிட்டாங்கன்னு
piraakaaraththai,பிராகாரத்தை
katturaiththodaril,கட்டுரைத்தொடரில்
cruisers,க்ரூஸர்ஸ்
anivagukkumaaru,அணிவகுக்குமாறு
vaetrtrumaippaduththi,வேற்றுமைப்படுத்தி
orusilarathu,ஒருசிலரது
nambikkaiyirunthaal,நம்பிக்கையிருந்தால்
vilaivaasikkaerpa,விலைவாசிக்கேற்ப
noayaalikal,நோயாளிகள்
thaduppathoa,தடுப்பதோ
yaapparivin,யாப்பறிவின்
saernthupoaga,சேர்ந்துபோக
pozhuthupoakkunnu,பொழுதுபோக்குன்னு
theevugalukkup,தீவுகளுக்குப்
thalaimaiththuvamaagavae,தலைமைத்துவமாகவே
muraikaedugalintri,முறைகேடுகளின்றி
kashtappaduththittaen,கஷ்டப்படுத்திட்டேன்
pannumma,பண்ணும்மா
anuppivaippathuthaan,அனுப்பிவைப்பதுதான்
athaiyottiththaan,அதையொட்டித்தான்
prodocal,ப்ரோடோகல்
nagarappaguthikkuch,நகரப்பகுதிக்குச்
madhanakoapaalum,மதனகோபாலும்
paaraiyaathalaal,பாறையாதலால்
kushiyaakiduvaangka,குஷியாகிடுவாங்க
dodding,டாடிங்
naluvivittaar,நழுவிவிட்டார்
kondruvittaen,கொன்றுவிட்டேன்
panwasi,பன்வாசி
saathiyamaippukalin,சாதியமைப்புகளின்
kamaandarukku,கமாண்டருக்கு
kaaychinaththa,காய்சினத்த
neersuththigarippu,நீர்சுத்திகரிப்பு
vibinchandrapal,விபின்சந்திரபால்
unavukkuzhaaigalil,உணவுக்குழாய்களில்
thodarpalo,தொடர்பாலோ
sirupirasurangalai,சிறுபிரசுரங்களை
thevadigalaargal,தேவடிகளார்கள்
neeraattinaargal,நீராட்டினார்கள்
vidhuranathu,விதுரனது
prikkumalavukku,பிரிக்குமளவுக்கு
sadasadappoliyai,சடசடப்பொலியை
aerkavaiththaar,ஏற்கவைத்தார்
ivvulagilulla,இவ்வுலகிலுள்ள
thanichamayam,தனிச்சமயம்
therinthathaeyaagum,தெரிந்ததேயாகும்
juliettil,ஜூலியட்டில்
kuruvampaalayaththil,குருவம்பாளையத்தில்
urumankulam,உருமன்குளம்
punniyaasana,புண்ணியாசன
asaichuthaeyendaal,அசைச்சுதேயெண்டால்
siraajuthinai,சிராஜுதினை
dichukitte,டிச்சுகிட்டே
thartkaalaththin,தற்காலத்தின்
perunchelvaththinai,பெருஞ்செல்வத்தினை
muthusangkalai,முதுசங்களை
thirumbividumaa,திரும்பிவிடுமா
thaakkuthalanigalil,தாக்குதலணிகளில்
mattida,மட்டிட
varudullah,வருதுல்லா
thaniyakavittu,தனியாகவிட்டு
vadapazhini,வடபழினி
thirappathupoalirunthathu,திறப்பதுபோலிருந்தது
pushparayanai,புஷ்பராயனை
pinnalooril,பின்னலூரில்
siyas,சியாஸ்
kettiyillaamal,கெட்டியில்லாமல்
abramipuram,அபிராமிபுரம்
pidikkavendumoa,பிடிக்கவேண்டுமோ
valarpattri,வளர்பற்றி
kumbiduvaal,கும்பிடுவாள்
manaiviyuma,மனைவியும
koochchugaludan,கோச்சுகளுடன்
nookampalayam,நூக்கம்பாளையம்
prasannavaal,பிரசன்னவால்
kalamirakkiyapoathum,களமிறக்கியபோதும்
aanaith,ஆனைத்
pinaiththukkondavar,பிணைத்துக்கொண்டவர்
eeshik,ஈஷிக்
arasamarapudanum,அரசமரபுடனும்
niyamikkapaduvaargal,நியமிக்கபடுவார்கள்
aevaiyum,ஏவையும்
magizhpavarathu,மகிழ்பவரது
ammavoada,அம்மவோட
saathamumthaan,சாதமும்தான்
idhukaalavaraiyilum,இதுகாலவரையிலும்
kaarunya,காருண்ய
koduththirukkiraayae,கொடுத்திருக்கிறாயே
veeraraippoal,வீரரைப்போல்
velikkakkukirathu,வெளிக்கக்குகிறது
yaazhinaiyum,யாழினையும்
ilanththirunththaaloa,இழந்திருந்தாலோ
erinchittup,எறிஞ்சிட்டுப்
anaivathaik,அணைவதைக்
veditthae,வெடித்தே
thermocol,தெர்மொகோல்
maeloangkiyiruppathaaka,மேலோங்கியிருப்பதாக
laurer,லாரர்
leovin,லியோவின்
thankakkattiyai,தங்கக்கட்டியை
vikkiraella,விக்கிறேல்ல
karainthavarkal,கரைந்தவர்கள்
vaerdukkaana,வேர்டுக்கான
thennamerikkaavin,தென்னமெரிக்காவின்
telephonkalil,டெலிபோன்களில்
seyalpaadugalaa,செயல்பாடுகளா
loththukkum,லோத்துக்கும்
vaikkappattaraam,வைக்கப்பட்டாராம்
