shindhanchem,शिंधांचें
urakanyalahi,उरकण्यालाही
dhukyaatach,धुक्यातच
shikalyaakhereej,शिकल्याखेरीज
brahmagiripekshahi,ब्रह्मगिरीपेक्षाही
kunkallent,कुंकळ्ळेंत
malyache,माल्याचे
kundabhaaskar,कुंडभास्कर
stutirbahuvidha,स्तुतिर्बहुविधा
unchapurya,ऊंचापुर्या
moriyal,मोरियल
shikvap,शिकवप
khetaavar,खेतावर
hilarchi,हिलरची
suchvane,सुचवणे
puravanimadhe,पुरवणीमधे
baaprebaap,बापरेबाप
matchpramaanech,मॅचप्रमाणेच
haalchaalichear,हालचालीचेर
kalaalelyaach,कळालेल्याच
deshandvare,देशांद्वारे
bhupati,भूपती
yerkes,येर्केस
bhajiprakarat,भाजीप्रकारात
divvyaa,दिव्व्या
varyavarhi,वार्यावरही
maratalyaanni,मरतल्यांनी
darjaachech,दर्जाचेच
mavasabhau,मावसभाऊ
agentanchya,एजंटांच्या
paavadarakunku,पावडरकुंकू
dhundaavanari,धुंदावणारी
aavaako,आवाको
aantarvayin,आंतरवयीन
daadaanich,दादांनीच
mipaaderaa,मिपाडेरा
ponjechi,पणजेची
taktyaamadhye,तक्त्यामध्ये
joshyaachi,जोश्याची
aalotar,आलोतर
meharabaaneech,मेहरबानीच
automationcha,ऑटोमेशनचा
dokyasi,डोक्यासी
ritache,रिताचें
paraskaran,पारस्करान
amereekechi,अमेरिकेची
tokhanaayek,तोखणायेक
karkhanasainiki,कारखानासैनिकी
khelaanche,खेळांचे
deringche,डेरिंगचे
vagavalyasarakhe,वागवल्यासारखे
hastinaapuratarfe,हस्तिनापुरतर्फे
puravanyaansahit,पुरवण्यांसहित
puvillyaa,पुविल्ल्या
jamaytaale,जमयताले
farsaan,फरसान
siddhantamadhye,सिद्धांतामध्ये
jamvaychanch,जमवायचंच
aniruddhache,अनिरुद्धाचे
nashekhoraakadoon,नशेखोराकडून
amudtalyachya,आमुडटल्याच्या
devasthanasathi,देवस्थानासाठी
sarikha,सारीखा
shearabaajaaraakade,शेअरबाजाराकडे
kantaalaach,कंटाळाच
sukshmavidnyaan,सूक्ष्मविज्ञान
daabalyaasarashi,दाबल्यासरशी
anukendraachen,अणुकेंद्राचें
khokuni,खोकुनी
sanjav,सांजाव
bangalurumadhalyaach,बंगळुरुमधल्याच
nachlis,नाचलीस
besharmi,बेशर्मी
uddyan,उदयन
sadhakanchi,साधकांची
kanekshan,कनेक्शन
sharmad,शर्मद
krodhaavar,क्रोधावर
dhupp,ढुप्प
kaadel,काडेल
xantota,शांतता
mushahedul,मुशाहेदूल
ahindu,अहिंदू
latchlockhi,लॅचलॉकही
decemberaachaa,डिसेंबराचा
bhurubhuru,भुरूभुरु
madhyeche,मध्येचे
jugalbandimule,जुगलबंदीमुळे
giyarchi,गियरची
colonyaanche,कॉलोन्यांचे
unchaavanyaakaami,उंचावण्याकामी
suchavanuk,सुचवणूक
upasagaratach,उपसागरातच
zadachya,झाडाच्या
satvagunaachaa,सत्वगुणाचा
masalach,मसालाच
arupak,अरूपाक
soldalaach,सोल्डलाच
paadyaanvar,पाड्यांवर
baaramadhun,बारमधुन
shrirangaavar,श्रीरंगावर
devnagrishi,देवनागरीशी
basmulle,बसमुळे
mulgrami,मूलग्रामी
jatreche,जात्रेचे
bulfrog,बुलफ्रॉग
suvaatevar,सुवातेवर
darollya,दारोळ्या
geateelee,घेतिल्लीं
kohlina,कोहलीना
ahevpana,अहेवपणा
tinku,टिंकू
pyaayachitar,प्यायचीतर
saangnaas,सांगणास
daravaajaansamor,दरवाजांसमोर
vyaapillo,व्यापिल्लो
devilaal,देविलाल
mumbaikade,मुंबईकडे
behubudi,बेहुबुदी
rukhanchya,रुखांच्या
kuravaalunach,कुरवाळूनच
dukandara,दुकानदारा
aadnyevlyaan,आज्ञेवल्यान
timud,तिमूद
basanyaachihi,बसण्याचीही
haglyasarkha,हागल्यासारखा
baariksanne,बारीकसाणें
bhavanda,भावंडा
yakaadi,यकादी
kodakautukaane,कोडकौतुकाने
dravidian,द्रविडियन
bombaanchyaa,बाँबांच्या
tajmadhil,ताजमधील
talaat,तळात
kapumbajichya,कपुंबाजीच्या
nohem,नोहें
raktavikar,रक्तविकार
jigaraat,जिगरात
kattyaakade,कट्ट्याकडे
surlakaran,सुर्लकारान
botego,बोटेगो
tappyaavarun,टप्प्यावरुन
kvaantaa,क्वांटा
takkeparyant,टक्केपर्यंत
vichaarapanthaanbaddal,विचारपंथांबद्दल
upadhyakshapadancha,उपाध्यक्षपदांचा
manshakay,मनशाकय
vaahin,वाहीन
shetatar,शेतातर
senanayakachi,सेनानायकाची
samrajyache,साम्राज्याचे
dhagyanbaddal,धाग्यांबद्दल
sandnyecha,संज्ञेचा
vaayrangcham,वायरंगचं
tarangaani,तरंगांनी
paahaane,पाहाणे
vyaajaasahit,व्याजासहीत
lekhaaadhich,लेखाआधीच
ponnayya,पोन्नय्या
messagemule,मॅसेजमुळे
vishnusahastranamache,विष्णूसहस्त्रनामाचे
jaavaantach,जावांतच
aakaartoy,आकारतोय
dahisaracham,दहिसरचं
madhyampekshaa,मध्यमपेक्षा
bhanyaachem,भंयाचें
korantatat,कोरांततात
aanibaanitahi,आणिबाणीतही
ghatasphotaanmadhe,घटस्फोटांमधे
gurucharitraache,गुरुचरित्राचे
mudrarakshas,मुद्राराक्षस
kankanni,कंकणी
hatodyasarkhya,हातोड्यासारख्या
pagadivaale,पगडीवाले
marinaachi,मरिनाची
aloch,अलोच
yugalanchya,युगलांच्या
stribijgranthit,स्त्रीबीजग्रंथीत
inflation,इनफ्लेशन
garbhaavarach,गर्भावरच
paavaane,पावाने
apsarkha,अपसारखा
vighatanaachen,विघटनाचें
shirorog,शिरोरोग
mohanya,मोहन्या
mashidikade,मशीदीकडे
woodstok,वुडस्टॉक
shadasukamimsiyam,शदसुकमींसीयम
thanyavar,ठाण्यावर
vinantyaanpaasoon,विनंत्यांपासून
shaharaanmadhyech,शहरांमध्येच
kasachya,कसाच्या
ardhagolaakruti,अर्धगोलाकृति
maskat,मस्कट
idiappam,इडियाप्पम
tarkaaviruddh,तर्काविरुद्ध
aashayaaadhaare,आशयाआधारे
fotoomaagachaa,फोटूमागचा
nocking,नॉकिंग
vallkhapant,वळखपांत
lapvato,लपवतो
bedyaanvar,बेड्यांवर
gallyaanmadhye,गल्ल्यांमध्ये
shivsenetli,शिवसेनेतली
zanshichi,झांशीची
vishayaankhereej,विषयांखेरीज
gruhatamule,गृहातांमुळे
helkavtya,हेलकावत्या
suyanchya,सुयांच्या
gunhaasthali,गुन्हास्थळी
ghanus,घाणुस
birhaad,बिऱ्हाड
sadasyetar,सदस्येतर
ghalvaychich,घालवायचीच
bhetitlya,भेटीतल्या
paaneevaatap,पाणीवाटप
musamusalela,मुसमुसलेला
vidnyaanikaani,विज्ञानिकांनी
cryton,क्रायटन
nadipaatraapalyaadachi,नदीपात्रापल्याडची
myoden,म्योदेन
nivaasasthaani,निवासस्थानी
kathasutratla,कथासूत्रातला
katyavarchya,कट्यावरच्या
aagobaa,आगोबा
sanskrutan,संस्कृतान
tyaavinaa,त्याविना
kolhatakaraanche,कोल्हटकरांचे
solaanantar,सोळानंतर
making,मेकींग
anuvidyut,अणुविद्युत
anulu,अनुलू
hisacharachya,हिसाचाराच्या
mandapachyo,मांडपाच्यो
ghuspallyaanchem,घुस्पल्ल्यांचें
swatakadalyan,स्वताकडल्यान
taranatyachya,तरनाट्याच्या
shrunuyuhstadaa,शृणुयुःस्तदा
mallakhaambaakhaatir,मल्लखांबाखातीर
bechta,बेचता
thambavanarya,थांबवणाऱ्या
angikaaralyaamule,अंगिकारल्यामुळे
farkaak,फरकाक
kosleach,कसलच
