namdharirao,নামধারীরাও
byasikke,ব্যাসিককে
bromhobongshe,ব্রহ্মবংশে
hanting,হ্যান্টিং
ichchapuroner,ইচ্ছাপুরণের
bagichagaoye,বাগিচাগাঁওয়ে
noxati,নক্সাটি
kanthalbisheshoggo,কাঁঠালবিশেষজ্ঞ
bsac,বিএসএসি
pritibhojei,প্রীতিভোজেই
vyatikanke,ভ্যাটিকানকে
aporek,অপরেক
shikkhahinbhabe,শিক্ষাহীনভাবে
debotaagon,দেবতাগণ
sthanatorer,স্থানাতরের
diladar,দিলাদার
moniromnolke,মনিরম্নলকে
ghotibhangasoho,ঘটিভাঙ্গাসহ
chandnimukha,চাঁদনীমুখা
hoanghe,হোয়াংহে
dadajir,দাদাজীর
digibdik,দিগিবদিক
bishojodweshta,বিষযদ্বেষ্টা
fertiliser,ফার্টিলাইজার
borkati,বোরকাটি
prodorshonkeo,প্রদর্শনকেও
noytitei,নয়টিতেই
chimes,কিমস
ooccakankkhee,উচ্চাকাঙ্ক্ষী
shasokrao,শাসকরাও
jungles,জঙ্গলে
khurdhare,ক্ষুরধারে
rajyekei,রাজ্যেকেই
sukrer,সুক্রের
samajaswarther,সমাজস্বার্থের
benapole,বেনাপোলে
lovmoh,লোভমোহ
mrityumrityumiti,মৃত্যুমৃত্যুমিতি
ebelai,এবেলাই
dakkhataswarup,দক্ষতাস্বরূপ
kumalokeo,কুমালোকেও
boktobyanusare,বক্তব্যানুসারে
dharontake,ধারণটাকে
lumsden,লামসডেন
nanabhashar,নানাভাষার
torobaridharok,তরবারিধারক
prolovonsomuho,প্রলোভনসমূহ
kambalajinratnani,কম্বলাজিনরত্নানি
sadarbasir,সদরবাসীর
digitylagesoner,ডিজিটাইলেজেশনের
mohimpur,মহিমপুর
dorreni,ডোরেনি
joutukrupe,যৌতুকরূপে
moonro,মনরো
friendshiper,ফ্রেন্ডশিপের
naguez,নাগেজ
samabarten,সমাবর্তেন
garza,গার্জা
kufan,কুফান
sampopno,সম্পপ্ন
simhasth,সিংহস্থ
scleroderma,স্ক্লেরোডার্মা
takamar,টাকামার
frucose,ফ্রুকোজ
bibhushitam,বিভূষিতম্
shromopojibir,শ্রমপজীবীর
selbrition,সেলব্রিশন
banochorito,বাণচরিত
aperson,অ্যাপারসন
fenian,ফেনিয়ান
visavidyalaya,বিশবিদ্যালয়
jonardone,জনার্দনে
digvijayanath,দিগ্বিজয়নাথ
chintanaikder,চিন্তানায়কদের
migei,মিগেই
vromis,ভ্রমিস
dhatsato,ধাতসত
detailer,ডিটেলের
nalakupmukta,নলকূপমুক্ত
abosargulo,অবসরগুলো
coroson,করোসন
rokuzzer,রোকুজ্জের
dhormobatikgrosto,ধর্মবাতিকগ্রস্ত
swapnojito,স্বপ্নজিত
sobidhane,সবিধানে
sitguarde,সিটগার্ডে
apomankale,অপমানকালে
arabeller,অ্যারাবেলার
thaikkad,থাইক্কদ
malofie,ম্যালোফি
gajmatta,গজমত্ত
teamti,টিমটি
bigyanbhabnake,বিজ্ঞানভাবনাকে
balipur,বলিপুর
mpd,এমপিডি
shilger,শিল্গের
nrityachalan,নৃত্যচলন
bogardke,বোগার্ডকে
viss,ভিস
gohatya,গোহত্যা
jakhom,জখম
shastrisaha,শাস্ত্রীসহ
gobbets,গবেটস
kaliger,কালীগের
contactser,কন্ট্যাক্টসের
durgosthito,দুর্গস্থিত
sompodbiboronisoho,সম্পদবিবরণীসহ
castle,ক্যাসেল
henechen,হেনেছেন
kailasnagar,কৈলাসনগর
raunch,রাঞ্চ
pharmecy,ফার্মেসি
brahmananda,ব্রহ্মনন্দ
chhaporaghortar,ছাপরাঘরটার
yelu,য়েলু
chichora,চিচোরা
ruza,রুজা
hansar,হানসার
windoztir,উইন্ডোজটির
ihudinidhaner,ইহুদিনিধনের
ganoporibohone,গণপরিবহণে
spashtayita,স্পষ্টায়িত
kunjanagar,কুঞ্জনগর
gadhike,গাধীকে
karunabashe,করুণাবশে
poshupremi,পশুপ্রেমি
premojoddhara,প্রেমযোদ্ধারা
halani,হালানি
thenappan,থেনাপ্পান
enajir,এনাজির
badrujjaman,বদরুজ্জামান
azrailta,আজরাইলটা
shahjadpur,শাহাজাদপুর
chevugi,চেভুগি
mottakiner,মোত্তাকিনের
zaod,জাওদ
geoidal,জিওডাল
upogrohogulio,উপগ্রহগুলিও
paniruzzaman,পনিরুজ্জামান
mobilephone,মোবাইলেফোন
avikarsha,অভিকর্ষ
egimang,এগিম্যাং
brotosadhonar,ব্রতসাধনার
khotir,খ্যাতির
protakhan,প্রত্যাখান
boliachile,বলিয়াছিলে
chakletkhini,চকলেটখিনি
wikete,উইকেটে
michoacan,মিসোয়াকান
guyuk,গুয়ুক
anjanai,অঞ্জনাই
abhibhabokottei,অভিভাবকত্বেই
taffic,ট্যাফিক
zeebondhaaron,জীবনধারণ
prestone,প্রিস্টোন
asjadur,আসজাদুর
arundhathi,অরুন্ধতী
tarzi,তার্জি
monohchikitsoker,মনঃচিকিৎসকের
bicharbibhagke,বিচারবিভাগকে
mailtrake,মেইলট্রেক
shutibabur,শুতিবাবুর
amarendranathbabu,অমরেন্দ্রনাথবাবু
pandia,পাণ্ডিয়া
maaper,মাপের
ovyosthotar,অভ্যস্থতার
takabrishti,টাকাবৃষ্টি
makunuri,মাকুনুরি
udwed,উদ্বেদ
hachchani,হাচ্ছানি
dren,ড্রেন
chulir,চুলির
tryaka,ট্র্যাক
mlechhika,ম্লেচ্ছিকা
gatumbate,গাতুম্বাতে
chhilmara,ছিলমারা
demagke,দেমাগকে
bakyabagishra,বাক্যবাগীশরা
snayutantrir,স্নায়ুতন্ত্রীর
snigdhojyoti,স্নিগ্ধজ্যোতি
cothers,কথারস
tabbuder,তব্বুদের
bayunet,বায়ুনেট
niktimapa,নিক্তিমাপা
moshurer,মশুরের
tasri,তাসরি
adapaka,আদাপাকা
richello,রিশেলো
polibaser,পলিবাসের
bankaiteche,বাঁকাইতেছে
caterfly,ক্যাটারফ্লাই
kiuira,কিউইরা
spinthale,স্পিনথালে
chungo,চুঙ্গো
hridi,হৃদি
shiphrah,শিফ্রা
panirostor,পানিরস্তর
leadke,লিডকে
teleplex,টেলিপ্লেক্স
aquizition,একুইজিশন
hulashuganjer,হুলাশুগঞ্জের
orkora,অর্করা
tothyokoshe,তথ্যকোষে
pobmanong,পবমানং
nirbachangulitei,নির্বাচনগুলিতেই
abdulbabu,আবদুলবাবু
mukube,মুকুবে
hunsoho,হুনসহ
chumute,চুমুতে
inhibiting,ইনহিবিটিং
sanod,সনদ
chittotole,চিত্ততলে
nantio,নান্টিও
adaler,আদালের
jhinjir,ঝিঞ্জির
thakbeaiti,থাকবেআইটি
kelankarir,কেলঙ্কারীর
juddhonititeo,যুদ্ধনীতিতেও
gulhan,গুলহান
krasin,ক্রাসিন
nelon,নেলন
sahasradhikbarsha,সহস্রাধিকবর্ষ
soba,সোবা
munsiganj,মুন্সীগঞ্জ
jachaikra,যাচাইকরা
borhanibagh,বোরহানিবাগ
maxillary,ম্যাক্সিলারি
bochganj,বোচগঞ্জ
rashtrobiplober,রাষ্ট্রবিপ্লবের
danishar,দানিশার
poong,পুং
jamdhare,জামধরে
minicater,মিনিকেটের
asahishnutake,অসহিষ্ণুতাকে
golafur,গোলাফুর
balami,বালামী
bondhoporibortonopabolik,বন্ধপরিবর্তনপাবলিক
decogulo,ডেকোগুলো
sombopadok,সম্বপাদক
jajaborbrittir,যাযাবরবৃত্তির
breetensoho,বৃটেনসহ
ballaster,ব্যালাস্টের
punthike,পুঁথিকে
surak,সুরাক
sarkarbyabostha,সরকারব্যবস্থা
usopen,ইউএসওপেন
araujo,অরাউজো
kanthalikalar,কাঁঠালীকলার
astittwer,অস্তিত্বের
todovittite,তদভিত্তিতে
carlile,কার্লিল
chandrauchcha,চন্দ্রউচ্চ
munaim,মুনাইম
sorkaritontroke,সরকারিতন্ত্রকে
kheyo,খেয়ো
portulager,পর্তুলাগের
jesuse,জেসুসে
kalapoka,কলাপোকা
kaligaonj,কালিগঞ্জ
sirajdoullahke,সিরাজদৌল্লাহকে
modorikder,মডরিকদের
cupertinor,কুপার্টিনোর
tibeshi,তিবেশি
dorsonbigganer,দর্শনবিজ্ঞানের
nitigyaner,নীতিজ্ঞানের
rahmah,রহমাহ
krishidaptar,কৃষিদপ্তর
splash,স্পল্যাশ
uddhabjir,উদ্ধবজীর
esechile,এসেছিলে
seitlaiknirmalatai,সেইটলাইকনির্মলাতাই
durdoshatei,দুর্দশাতেই
chauddaghar,চৌদ্দঘর
bulevader,বুলেভাডের
dristate,দৃষ্টাতে
foridder,ফরিদদের
dushtuo,দুষ্টুও
dekhanosoho,দেখানোসহ
netadhopani,নেতাধোপানি
sulei,সুলেই
pulisei,পুলিসেই
chettiake,চেটিয়াকে
bokkhoguloke,বক্ষগুলোকে
hilure,হিলুরে
albopictus,অ্যাল্বোপিকটাস
kangsa,কংস
kalasangam,কলাসঙ্গম
photovolatic,ফটোভোলাটিক
prochchhaddo,প্রচ্ছাদ্য
djerba,ডেজারবা
boboharkari,ববহারকারী
rulser,রুলসের
mtro,মেট্রো
gondhorboder,গন্ধর্বদের
fulanir,ফুলানির
shilposodone,শিল্পসদনে
abmukto,আবমুক্ত
frontline,ফ্রন্টলাইন
hindusabhar,হিন্দুসভার
khamotatantrer,ক্ষমতাতন্ত্রের
privatise,প্রাইভেটাইজ
chaitanyarupini,চৈতন্যরূপিণি
kiraghija,কিরঘিজ
ekenishai,একেনিশাই
incontinence,ইনকন্টিনেন্সে
navanli,নাভানলি
levendor,লেভেন্ডর
paakerr,পাকের্র
bimati,বিমতি
autotite,অটোটিতে
rabbanira,রাব্বানীরা
amadonikrito,আমাদনীকৃত
paraya,পরায়া
taluqudar,তালুকুদার
brittisokoler,বৃত্তিসকলের
sorbobharoto,সর্বভারত
