chainij,चाइनिज
shyamraj,श्यामराज
fainlak,फाइनलक
lafandarak,लफन्दरक
kekropar,केकरोपर
hartirath,हरतीरथ
peparme,पेपरमे
marmantak,मर्मान्तक
kashtikamagnau,काष्टिकामग्नौ
hastantaran,हस्तांतरण
yadunayakah,यदुनायकः
anariye,अनरिये
sihkee,सिह्की
maahi,माहि
tahmasap,ताहमासप
nagriktah,नागरिकताः
falaincha,फलैंचा
bijnee,बिजनी
vankshu,वंक्षु
hernandez,हर्नान्डेज
rakshasaneek,राक्षसनीक
januaryk,जनवरीक
chandnuaa,चन्दनुआ
deraybaak,डेरयबाक
sakarait,सकारैत
biknaa,बिकना
poojyak,पूज्यक
siddhaannak,सिद्धान्नक
sangatin,सङ्गतिं
dhaapaa,धापा
baraem,बारेम
shanidinke,शनिदिनके
aalep,आलेप
basaolanhi,बसओलन्हि
dhoaadhotidhari,धोआधोतीधारी
musaakay,मुसाके
paikaarak,पैकारक
bhavishyadarshakaroopen,भविष्यदर्शकरूपेण
aakhekh,आखेख
ehaa,एहा
peparpar,पेपरपर
chariaepan,चारिएपन
ayojanken,आयोजनकें
maijudeval,मैजुदेवल
saiyaa,सैया
shirshvindu,शीर्षविन्दु
rajeshwadar,राजेश्वदर
ghardhurike,घरधुरीके
riteshke,रितेशके
batatee,बताती
briliaent,ब्रिलिएण्ट
shataanandaadi,शतानन्दादि
priwarsan,परिवारसँ
suparbhilen,सुपरभिलेन
pechokham,पेचोखम
arunprabha,अरुणप्रभा
kelahunhean,केलहुँहेँ
asgaren,असगरें
marigold,मेरीगोल्ड
chavhay,चाव्हय
falgunmev,फाल्गुनमेव
fenkatee,फेंकती
letahi,लेतहि
uthaelah,उठाएलाह
aarkshmei,आरक्षमे
paripateek,परिपाटीक
vivaransabhme,विवरणसभमे
lampantar,लामपान्टार
aatmcharit,आत्मचरित
saaoleen,साओलिन
cheenmay,चीनमे
plaaran,प्लारन
shrinkhlasan,शृंखलासँ
mhasanghak,महासङ्घक
babhnaha,बभनाहा
belghari,बेलघारी
vampanthime,वामपंथीमे
aanchalme,आँचलमे
gudno,गुदनो
rahiyaa,रहिया
nilbhuja,नीलभुजा
edinbargah,एडिनबर्गः
virasatken,विरासतकें
kshemkant,क्षेमकान्त
tapkee,टपकी
pachwan,पचवन
bhrashtacharpar,भ्रष्टाचारपर
dhritigrihitaya,धृतिगृहीतया
angrejsabhsan,अङ्ग्रेजसभसँ
prakshalini,प्रक्षालिनी
kalejsan,कलेजसँ
uthlapar,उठलापर
ekakshari,एकाक्षरी
trisamay,त्रिसमय
abhilakshnon,अभिलक्षणों
chaski,चस्की
punjabke,पञ्जाबके
dasmo,दसमो
osabhkein,ओसभके
samavartan,समावर्तन
kaaruniq,कारुणिक
reejalt,रीजल्ट
kacharlen,कचरलें
chandrathnath,चन्द्रथनाथ
hariharkshetra,हरिहरक्षेत्र
vivahsan,विवाहसँ
toulmein,तौलमे
nekaram,नेकरम
hetin,हेतिन
tarfbaat,तर्फबाट
prakurvanaistaih,प्रकुर्वाणैस्तैः
yaagyavalakya,याज्ञवलक्य
karyashalasabhme,कार्यशालासभमे
kootakshr,कूटाक्षर
kusmar,कुसमार
paterva,पटेर्वा
nimtyaundai,निम्त्याउंदै
sivarva,सिवर्वा
agniprikshak,अग्निपरीक्षाक
jammaputr,जम्मपुत्र
virudhkaile,विरूद्धकएल
bailke,बाइलके
yuktipoorvak,युक्तिपूर्वक
bahurrashtriya,बहुर्राष्ट्रीय
ohlu,ओहलु
alahabadme,इलाहाबादमे
aanandik,आनन्दीक
swarnrekha,स्वर्णरेखा
borinee,बोरिनी
udyogsabh,उद्योगसभ
laabathi,लाबथि
ubheshch,उभेश्च
gururoopee,गुरुरूपी
bairaks,बैरक्स
swarsandhanken,स्वरसंधानकेँ
katej,कटेज
gongiyai,गोंगियै
shridharswami,श्रीधरस्वामी
jaldeeye,जल्दीये
loklel,लोकलेल
chheechchaa,छिच्चा
samudrdevi,समुन्द्रदेवी
uttarkonme,उत्तरकोणमे
chhotak,छोटक
boonin,बूनिन
nadiaepachhi,नदिएपछि
basain,बसाइँ
dekhelhun,देखेलहुँ
buddheh,बुद्धेः
taapook,टापूक
brishbhanuja,बृषभानुजा
jataee,जतै
indrchokamae,इन्द्रचोकमे
yuvatiyon,युवतियों
kosalaka,कोसलक
quaterly,क्वाटरली
haanfne,हाँफने
hamnath,हमनाथ
basepur,बासेपुर
rachalak,रचलक
bhugtanik,भुगतानीक
amaarpatti,अमरपट्टी
sisautiya,सिसौटिया
aabsaon,आबसँ
moina,मोईन
utkrishtamayee,उत्कृष्टमयी
chelahin,चेलहिँ
jutite,जुटिते
lainp,लैंप
javenge,जावेंगे
nihshabdta,निःशब्दता
varahkshetra,वराहक्षेत्र
marmgyon,मर्मज्ञों
grihnasi,गृहणासि
puranakaa,पुरनका
kistabandee,किस्ताबन्दी
labaalab,लबालब
baheenme,बहीनमे
thanasan,थानासँ
basaunihaar,बसौनिहार
yenko,यिनको
sobhitgar,सोभितगर
samvadparak,संवादपरक
profesionalsak,प्रोफेशनल्सक
pradarshnaarth,प्रदर्शनार्थ
paboo,पाबू
aufsar,ऑफसर
albatta,अलबत्ता
wastume,वस्तुमे
varchswak,वर्चस्वक
vaigyaniksabhke,वैज्ञानिकसभके
metaeet,मेटाइत
abeeha,अबिहऽ
sarairanjan,सराईरंजन
pratipaadaname,प्रतिपादनमे
farward,फरवार्ड
chlchitrakee,चलचित्रकी
rajkulsbhme,राजकुलसभमे
nautikta,नौतिकता
bhattaraiwadiko,भट्टराईवादीको
ratnollasatkundala,रत्नोल्लसत्कुण्डला
fenkal,फेंकल
senetaijar,सेनेटाइजर
prabeen,प्रबीन
swatantraatmakah,स्वतन्त्रात्मकः
shatabdeem,शताब्दीम
uparbala,उपरबला
ghutkait,घुटकैत
tamaakur,तमाकुर
gagandev,गगनदेव
waterfall,वाटरफॉल
ekgotei,एकगोटे
baimani,बैमानी
sangamasthal,संगमस्थल
saanpaak,साँपक
yairishyate,यैरिष्यते
pakhtun,पख्तुन
aeloraa,एलोरा
vishleshaksabhdwara,विश्लेषकसभद्वारा
poonjeemesan,पूञ्जीमेसँ
dhyanak,ध्यानक
bhagyanarayan,भाग्यनारायण
dirghkalik,दीर्घकालीक
vijan,विजन
swarthsadhanak,स्वार्थसाधनक
tatvasarayan,तत्त्वसारायण
hindurashtra,हिन्दूराष्ट्र
anuswarak,अनुस्वारक
chamatkaarit,चमत्कारित
swikarbame,स्वीकारबामे
marglet,मार्गलेट
pradarshansabh,प्रदर्शनसभ
parhast,परहस्त
dhokba,ढोकबा
tilpadmadan,तिलपद्मदान
badlaavon,बदलावों
astitve,अस्तित्वे
chahinihar,चाहिनिहार
manandharwad,मानन्धरवाद
heesabme,हिसाबमे
prabhaavo,प्रभावो
puranpurushottamah,पुराणपुरुषोत्तमः
mataranik,मातारानीक
shktiprasad,शक्तिप्रसाद
sochito,सोचितो
nakshatradi,नक्षत्रादि
dhyanakrisht,ध्यानाकृष्ट
kanyagatsan,कन्यागतसँ
samuplabhyate,समुपलभ्यते
hemashankar,हेमाशंकर
bheemnagarak,भीमनगरक
pradattah,प्रदत्तः
duphariaa,दुपहरिआ
vastusthitik,वस्तुस्थितिक
sharmnaak,शर्मनाक
bekkeloret,बेक्केलोरेट
garmaas,गर्मास
pakchik,पक्षिक
shrotagansan,श्रोतागणसँ
panditprashansavibhage,पण्डितप्रशंसाविभागे
ebhana,इभाना
vajaol,वजाओल
kenaho,केनहो
paawanysv,पावनिसभ
daashe,दाशे
pandityajan,पाण्डित्यजन
naastikataame,नास्तिकतामे
sikayat,सिकायत
ekasootrataapoorwak,एकसूत्रतापूर्वक
bujhiteeyanhi,बुझितीयन्हि
och,ऊच
nandulal,नन्दुलाल
fagunma,फगुनमा
svasvamtopasthane,स्वस्वमतोपस्थाने
bhagaywala,भागयवला
nikalbake,निकलबाके
vivekshiltaak,विवेकशीलताक
negoshiyeshans,नेगोशियेशन्स
perforator,परफोरेटर
niyule,नियुले
chhausan,छौसँ
sangmrmar,सङ्गमर्मर
uddhaare,उद्धारे
deekshabhoomi,दीक्षाभूमि
bujhlaho,बुझलहो
matinathmatrikchakran,मतिनाथमात्रिकचक्रं
sudurlabh,सुदुर्लभ
mndeep,मन्डीप
paddati,पद्दति
rubaiyan,रुबाइयाँ
risorsaj,रिसोर्सज
shivnandon,शिवनन्दोन
ramanath,रामानाथ
byurokresee,ब्युरोक्रेसी
mumbeke,मुम्बईकें
katekahu,कतेकहु
jitlani,जितलनि
pichkunsan,पिचकुनसँ
niraharasya,निराहारस्य
jeevnak,जिवनक
wimaanme,विमानमे
chandaldevi,चन्दलदेवी
bardivas,बर्दिवास
dataset,डाटासेट
nishpakshak,निष्पक्षक
kanwak,कानबाक
vishwamitrajoo,विश्वामित्रजू
velaacheri,वेलाचेरी
agrauha,अग्रोहा
sandigdhaa,सन्दिग्धा
kaseekandh,कासीकांध
aatmkaavya,आत्मकाव्य
atyacharme,अत्याचारमे
parvatke,पर्वतकें
huno,हुनो
aedeeje,एडीजे
khenchi,खेंची
dubli,दुबली
banaibai,बनैबै
dirghayoo,दीर्घायु
sambhaalne,सम्भाल्ने
avsadon,अवसादों
sadanandash,सदानन्दश
tilkamajhi,तिलकामाझी
bhatijaba,भतीजबा
vachchah,वच्चाह
rogwidsabh,रोगविदसभ
sarvakareeya,सर्वकारीया
