kuberastatra,कुबेरस्तत्र
narocchaadyaa,नरोच्चाद्या
vyaaghrapaadau,व्याघ्रपादौ
lohasyaaragvadhasya,लोहस्यारग्वधस्य
kvasaavapa,क्वसावप
abhinetaarah,अभिनेतारः
durindro,दुरिन्द्रो
haaraneehaaragaure,हारनीहारगौरे
eeshadutsmayamaanastu,ईषदुत्स्मयमानस्तु
prathamadhikare,प्रथमाधिकारे
punnammayyah,पुन्नम्मय्यः
satyamomiti,सत्यमोमिति
rauravatantra,रौरवतन्त्र
raghupatim,रघुपतिम्
vrukapadam,वृकपदं
dadyaadbhogaan,दद्याद्भोगान्
orvapraa,ओर्वप्रा
chedbuddhijam,चेद्बुद्धिजं
swargamaasthitah,स्वर्गमास्थितः
krushnanatih,कृष्णनतिः
vandaaruste,वन्दारुस्ते
jyotistatvam,ज्योतिस्तत्त्वम्
utpadyadi,उत्पद्यदि
naitikamaulyaanaam,नैतिकमौल्यानाम्
satanutraishch,सतनुत्रैश्च
sahadevoarjunashch,सहदेवोऽर्जुनश्च
babhra,बभ्र
yadvadhashcha,यद्वधश्च
hinartha,हीनार्थ
swajanaanuta,स्वजनानुत
bhraajishnavo,भ्राजिष्णवो
hatashatrupaksham,हतशत्रुपक्षम्
meshearkaamshaastu,मेषेऽर्कांशास्तु
pramaayaanvitah,प्रमायान्वितः
prau,प्रौ
nashtasamshayah,नष्टसंशयः
sravaa,स्रवा
yoavajaaneete,योऽवजानीते
vadeelu,वडीलु
trishvete,त्रिष्वेते
swaashlish,स्वाश्लिष्
ayamadoshah,अयमदोषः
anekaalapi,अनेकालपि
bhoopapriyaah,भूपप्रियाः
tushtobrahmaa,तुष्टोब्रह्मा
yuddhatithyam,युद्धातिथ्यं
nootanatamaa,नूतनतमा
vedavedaangavid,वेदवेदाङ्गविद्
tadvamshavallee,तद्वंशवल्ली
dwijaganaan,द्विजगणान्
jagatsarvaaya,जगत्सर्वाय
sabui,सबुइ
gajavikaashee,गजविकाशी
yadrucchaanishkraante,यदृच्छानिष्क्रान्ते
dravaavasthaa,द्रवावस्था
sankhyaashaastradnyah,संख्याशास्त्रज्ञः
yathaivoshtreedasherake,यथैवोष्ट्रीदशेरके
parapeedaanivarttanah,परपीडानिवर्त्तनः
hataavadhye,हतावध्ये
raghugraamaneeh,रघुग्रामणीः
aachaaryakakshaaparyantam,आचार्यकक्षापर्यन्तं
brahmaandapuraanepi,ब्रह्माण्डपुराणेऽपि
kilaashu,किलाशु
varaayudhadharo,वरायुधधरो
praayashchittantu,प्रायश्चित्तन्तु
prathayai,प्रथायै
dhaamaani,धामानि
ekataal,एकताल
utpattishoonyaay,उत्पत्तिशून्याय
sankhyaamadhikrutya,संख्यामधिकृत्य
samshodhanaasamsthayaa,संशोधनासंस्थया
ravibhaumau,रविभौमौ
nirjitavatyathaprakaashe,निर्जितवत्यथप्रकाशे
koopakarnaprahaarakrute,कूपकर्णप्रहारकृते
bhagyadbhagyagate,भाग्याद्भाग्यगते
adnyaatawaasamushitaa,अज्ञातवासमुषिता
teerthapaadaay,तीर्थपादाय
koayamaatmetyevamaadou,कोऽयमात्मेत्येवमादौ
krodhadiptakshim,क्रोधदीप्ताक्षीं
pavakan,पावकान्
dhanamupakaranam,धनमुपकरणं
rudrashaantyai,रुद्रशान्त्यै
sundaraapaangam,सुन्दरापाङ्गं
paapacheli,पापचेली
tvapekshyam,त्वपेक्ष्यं
shvaasamaatraavashesham,श्वासमात्रावशेषम्
paratwaadeedaagamah,परत्वादीडागमः
putrobhootsumate,पुत्रोऽभूत्सुमते
dambhastasmai,दम्भस्तस्मै
tatakabhayakarta,ताटकाभयकर्ता
taishyaachi,तैश्याचि
krushneshaanandajanakah,कृष्णेशानन्दजनकः
jeevacchavo,जीवच्छवो
bhaarateeyasamaajasy,भारतीयसमाजस्य
nirmaanakaaryaay,निर्माणकार्याय
sarvopakaarakah,सर्वोपकारकः
santanabeejakriyam,सन्तानबीजक्रियां
khandaahvayo,खण्डाह्वयो
gacchataste,गच्छतस्ते
niravartayadguruh,निरवर्तयद्गुरुः
bheeshanaroopadharo,भीषणरूपधरो
paramasundari,परमसुन्दरी
nandaadayashch,नन्दादयश्च
vastutashchiti,वस्तुतश्चिति
panyavaachi,पण्यवाचि
yaaturvirodhe,यातुर्विरोधे
aashramaanaamatah,आश्रमाणामतः
raadhaakrushnaavoochatuh,राधाकृष्णावूचतुः
satyakaarasya,सत्यकारस्य
shravanaanpoojayettatra,श्रवणान्पूजयेत्तत्र
vaakyabalam,वाक्यबलं
gaushchitaa,गौश्चिता
akarshanadvara,आकर्षणद्वारा
susukhoshitaah,सुसुखोषिताः
shrutaarthavaakyam,श्रुतार्थवाक्यं
saankhyaroopamayaay,सांख्यरूपमयाय
saamagrya,सामग्र्य
adhyaapikaaroopen,अध्यापिकारूपेण
itaadeshah,इतादेशः
vyavahaaraavagamah,व्यवहारावगमः
raamakrushnaharimantram,रामकृष्णहरिमन्त्रम्
kashmeerasthaih,कश्मीरस्थैः
svabharyam,स्वभार्यां
samalankrutaani,समलङ्कृतानि
evopasargebhyo,एवोपसर्गेभ्यो
syaamahamewaikah,स्यामहमेवैकः
vilanghyalangaam,विलङ्घ्यलङ्गां
niyatvaat,नियत्वात्
nityamayaniraso,नित्यमायानिरासो
hairanyako,हैरण्यको
shishyavruttim,शिष्यवृत्तिं
ekasenteemeetaravargasy,एकसेण्टीमीटरवर्गस्य
nyaayayuktamidam,न्याययुक्तमिदं
vishesatkarmasiddhih,विशेसत्कर्मसिद्धिः
chandrasyaagneh,चन्द्रस्याग्नेः
jitasamsaaravaasanah,जितसंसारवासनः
apayan,अपयन्
jeemheem,जींहीं
dhwanyamaanoasti,ध्वन्यमानोऽस्ति
mahaadwipamiwaaranye,महाद्विपमिवारण्ये
chitrakalaayaamapi,चित्रकलायामपि
sarveshvaashrama,सर्वेष्वाश्रम
vardhayitum,वर्धयितुं
bhrashyatprasunakabaraa,भ्रश्यत्प्रसूनकबरा
trinetrabhrut,त्रिणेत्रभृत्
sadaikah,सदैकः
praptashulka,प्राप्तशुल्का
kaalavadanam,कालवदनं
gunashabdabhinirvrutta,गुणशब्दभिनिर्वृत्त
anjantyah,अञ्जन्त्यः
samudyatagirim,समुद्यतगिरिं
aadeshaarth,आदेशार्थ
gunabhooto,गुणभूतो
gruhyataatparyadarshana,गृह्यतात्पर्यदर्शन
vadhakshamam,वधक्षमम्
chaatraavayavinah,चात्रावयविनः
sarshipurogamaah,सर्षिपुरोगमाः
vaiyaaghramaasedushah,वैयाघ्रमासेदुषः
vayasyaganam,वयस्यगणं
dinakarasutamitram,दिनकरसुतमित्रं
antimakaalasy,अन्तिमकालस्य
bahuwidharochakasanwidhaanaih,बहुविधरोचकसंविधानैः
kaushikayaagarakshanakaram,कौशिकयागरक्षणकरं
kokaayaam,कोकायां
srujatyaakshipate,सृजत्याक्षिपते
abdhou,अब्धौ
shreeraamachandrah,श्रीरामचन्द्रः
pashupaashavimochanah,पशुपाशविमोचनः
bhayamaalasyamev,भयमालस्यमेव
bahugranthakaarena,बहुग्रन्थकारेण
vineetadoshatrushnah,विनीतदोषतृष्णः
ukkttah,उक्क्तः
charanamiti,चरणमिति
pravesheem,प्रवेशीं
jalaalat,जलालत
kaliyugaalayah,कलियुगालयः
praneetatvena,प्रणीतत्वेन
vighatayya,विघटय्य
sarvajaya,सर्वजय
sphaarapaashaanavrundai,स्फारपाषाणवृन्दै
lagnachandrastham,लग्नचन्द्रस्थम्
samaanabhogah,समानभोगः
chidahambhaashanam,चिदहम्भाषणं
vimarshanantaram,विमर्शनन्तरं
dravase,द्रवसे
samarasimhaah,समरसिंहाः
navamitah,नवमितः
vajramupanyaaso,वज्रमुपन्यासो
kavikulavinutaa,कविकुलविनुता
aakaashakaaranasy,आकाशकारणस्य
durlalitayasmai,दुर्ललितायास्मै
rayagadamandalaparisare,रायगडमण्डलपरिसरे
khanirmalaay,खनिर्मलाय
paraparavibhutida,परापरविभूतिदा
dwaiteeyeekatwaat,द्वैतीयीकत्वात्
shreebaalaastautram,श्रीबालास्तौत्रम्
dhanvanaa,धन्वना
abhirakshanam,अभिरक्षणं
aalasyamupetah,आलस्यमुपेतः
vaatashonita,वातशोणित
kalindajaam,कलिन्दजां
mohavidhvamsakam,मोहविध्वंसकं
satyaloka,सत्यलोक
tannimittasmaravyaaj,तन्निमित्तस्मरव्याज
aavyakt,आव्यक्त
vruttimato,वृत्तिमतो
shaantipriyah,शान्तिप्रियः
shreenkaaradevapoojitah,श्रींकारदेवपूजितः
shreemahaadev,श्रीमहादेव
nijaikadnyeyavaibhavah,निजैकज्ञेयवैभवः
