fusharun,फुशारुन
stereotypical,स्टीरियोटिपिकल
bakharipramane,बखरीप्रमाणे
adonai,अडोनाई
nevkar,नेवकर
hedoghehi,हेदोघेही
dukanasa,दुकानासा
deshanmadhye,देशांमध्ये
shavavichchhedanachyaveli,शवविच्छेदनाच्यावेळी
cricketprem,क्रिकेटप्रेम
pahilyankade,पहिल्यांकडे
pencard,पेनकार्ड
vikaskamas,विकासकामास
banpipri,बनपिप्री
vasahatipalikade,वसाहतीपलीकडे
yasarvant,यासर्वांत
hegchya,हेगच्या
karyachehi,कार्याचेही
vishrantinantarhi,विश्रांतीनंतरही
kavayatidarmyan,कवायतीदरम्यान
motira,मोतीरा
kosalayacha,कोसळायचा
bhusanrung,भूसंरुंग
vidheykababatcha,विधेयकाबाबतचा
sambhalanaya,सांभाळणाया
piredchya,पिरेडच्या
tushtikaranach,तुष्टीकरणाचं
zarkhands,झारखंडसह
swashan,स्वशन
kamgarmantryankade,कामगारमंत्र्यांकडे
brijpal,बृजपाल
qebeen,केबिन
bhaleraoche,भालेरावचे
nominesh,नॉमिनेश
spardhakalat,स्पर्धाकाळात
missionarinkadun,मिशनरींकडून
itihaspremichya,इतिहासप्रेमीच्या
hakalpattivishayi,हकालपट्टीविषयी
nakpudyant,नाकपुड्यांत
shevalachya,शेवळाच्या
korenchi,कोरेंची
jalpanacha,जलपानाचा
kundalishastrala,कुंडलीशास्त्राला
onane,ओनाने
laghukathet,लघुकथेत
bharbharatis,भरभराटीस
rashtravaditunach,राष्ट्रवादीतूनच
loksankhyavadhivarhi,लोकसंख्यावाढीवरही
dhulyamadhil,धुळ्यामधील
vayarchi,वायरची
flowerbed,फ्लॉवरबेड
aivadhach,ऐवढच
chauhanach,चौहानच
srujanas,सृजनास
udasinetebabat,उदासिनेतेबाबत
vivahapoorvipasun,विवाहापूर्वीपासून
dakhvinaren,दाखविणारें
vimananirmatyanchi,विमाननिर्मात्यांची
upapatra,उपपात्र
karanjeevar,करंजीवर
nehmipranech,नेहमीप्राणेच
raktalu,रक्ताळू
localization,लोकलाइजेशन
carcigenic,कार्सिजेनिक
aavakyamule,आवाक्यामुळे
bandhkamakadehi,बांधकामाकडेही
utpadanvyavasthet,उत्पादनव्यवस्थेत
vaigunyehi,वैगुण्येही
sukhavatat,सुखवतात
chitrapatabarobar,चित्रपटाबरोबर
watwade,वाटवडे
shreejeetchya,श्रीजीतच्या
malvinder,मलविंदर
hironji,हिरोंजी
nrupaniti,नृपनीती
katamaricha,काटामारीचा
balatat,बळतात
premvivahavishayi,प्रेमविवाहाविषयी
andwar,अंदवार
danvevkade,दानवेवकडे
pratalavaril,प्रतलावरील
shodhananantar,शोधनानंतर
lavtilahi,लावतीलही
issues,इश्युज
nyayalayalagatchya,न्यायालयालगतच्या
nalyachya,नाल्याच्या
dgh,डीजीएच
alalfichya,अलअल्फीच्या
mahimesathi,माहिमेसाठी
guptamandali,गुप्तमंडळी
hatnoormadhye,हतनूरमध्ये
bhikobanagar,भिकोबानगर
shankarguru,शंकरगुरु
sanveedhanachya,संविधानाच्या
pirelli,पिरेल्ली
packers,पॅकर्स
tyasandarbhache,त्यासंदर्भाचे
annadanahi,अन्नदानही
patrakaranmulech,पत्रकारांमुळेच
arjunchandra,अर्जुनचंद्र
koradavahumadhye,कोरडवाहूमध्ये
majhichi,माझीची
sainyakarita,सैन्याकरिता
atiladamule,अतिलाडामुळे
anastasia,अनास्तासिया
kartrumayi,कर्तृमयी
bhidatanach,भिडतानाच
futirpravruttichya,फुटीरप्रवृत्तीच्या
chorala,चोराला
megapicsel,मेगापिक्सेल
godhadila,गोधडीला
dutavasatil,दुतावासातील
thambavalyachi,थांबवल्याची
karkirditle,कारकिर्दीतले
keeniya,केनिया
khahar,खहर
chitrapatarasikanni,चित्रपटरसिकांनी
nepalahi,नेपाळही
pramanikpanamule,प्रमाणिकपणामुळे
khajavita,खाजविता
kanthasnanahi,कंठस्नानही
basanth,बसंत
pitrupad,पितृपद
vatovatche,वाटोवाटचे
vyavasayavruddhi,व्यवसायवृद्धी
dalmiyamadhye,दालमियामध्ये
sarkalyachya,सरकल्याच्या
thararane,थराराने
mahanirvaniche,महानिर्वाणीचे
dhoranansadarbhat,धोरणांसदर्भात
patyavarun,पात्यावरून
chhalatoch,छळतोच
preh,प्रेह
garbyane,गरब्याने
yuddhasamugrivarhi,युद्धसामुग्रीवरही
fahrenheit,फॅरेनहाईट
pranitva,प्राणित्व
hinsenchi,हिंसेंची
ramasarkha,रामासारखा
balmrutyuchi,बालमृत्यूची
rastyambabatahi,रस्त्यांबाबतही
suvarnapedhyanchi,सुवर्णपेढ्यांची
sarkila,सरकीला
trunadhanyamadhye,तृणधान्यामध्ये
shivainagarat,शिवाईनगरात
chitranayika,चित्रनायिका
sthaldarshak,स्थळदर्शक
khidkikadil,खिडकीकडील
vastranirmitichi,वस्त्रानिर्मितीची
roghe,रोघे
kokakanateel,कोककणातील
shilpgramamadhye,शिल्पग्रामामध्ये
ativrushtine,अतिवृष्टिने
dvigunat,द्विगुणात
asaduddinla,असाउद्दीनला
kopikar,कोपिकर
violet,वॉयलेट
uparollekheet,उपरोल्लेखीत
nevashyat,नेवाश्यात
krishikarjamafi,कृषिकर्जमाफी
gholgholun,घोळघोळून
bolani,बोलणी
vaachkaanchyaa,वाचकांच्या
guptache,गुप्ताचे
nyayyahi,न्याय्यही
bukivirodhat,बुकीविरोधात
atkavasandarbhat,अटकावासंदर्भात
pagadyatoon,पगड्यातून
dhutapapi,धुतपापी
afrodite,अॅफ्रोडाईट
apurapana,अपुरापणा
balmanch,बालमंच
netrasukhadahi,नेत्रसुखदही
janprabodhanamule,जनप्रबोधनामुळे
loksevkavar,लोकसेवकावर
upasthitisuddha,उपस्थितीसुद्धा
ucharakshakti,उचारकशक्ती
misalata,मिसळता
vadhipramanech,वाढीप्रमाणेच
shivajirajenni,शिवाजीराजेंनी
furniturewala,फर्नीचरवाला
navkalakarambarobar,नवकलाकारांबरोबर
satyapiratun,सत्यपीरातून
chirekhaninchi,चिरेखाणींची
suhrudambarobar,सुहृदांबरोबर
alcoholism,अल्कोहोलिझम
glaucoma,ग्लूकोमा
karyamagnatecha,कार्यमग्नतेचा
fleet,फ्लीट
granthprakashanala,ग्रंथप्रकाशनाला
shauchalayanvishayi,शौचालयांविषयी
lagnyaivaji,लागण्याऐवजी
lekhnamage,लेखनामागे
parjanyavanacha,पर्जन्यवनाचा
mailboxmadhil,मेलबॉक्समधील
zatkyapramane,झटक्याप्रमाणे
dukananviruddha,दुकानांविरुद्ध
yadrushtikonatun,यादृष्टिकोनातून
nokarbharativeli,नोकरभरतीवेळी
ganveshamadhye,गणवेशामध्ये
fatkarlyanantarhi,फटकारल्यानंतरही
mitravarach,मित्रावरच
digambarbaba,दिगंबरबाबा
jahiratvishvat,जाहीरातविश्वात
fotugraphy,फोटूग्राफी
prakriyemadhala,प्रक्रियेमधला
